,Date,Balance,NumberTrades,SP500Return
1,6/27/2017,7952.91,2,-0.873113751
2,6/28/2017,8022.17,0,0.867462909
3,6/29/2017,7941.22,1,-0.153090067
4,6/30/2017,7915.85,2,-0.230546601
5,7/3/2017,7878.6,0,-0.145115805
6,7/5/2017,7914.3,0,0.945741259
7,7/6/2017,7842.49,2,-0.636241434
8,7/7/2017,7821.49,0,-0.092690623
9,7/10/2017,7758.29,0,0.078333395
10,7/11/2017,7732.13,1,-0.725263481
11,7/12/2017,7853.93,0,-0.187104497
12,7/13/2017,7942.63,2,-0.465178691
13,7/14/2017,7958.78,2,0.005286401
14,7/17/2017,7876.08,0,-0.059741284
15,7/18/2017,7873.82,0,-0.534394037
16,7/19/2017,7884.18,0,0.015363157
17,7/20/2017,7887.05,0,0.036804258
18,7/21/2017,7892.33,1,0.106481613
19,7/24/2017,7898.45,1,-0.291466334
20,7/25/2017,7942.04,0,-0.028250526
21,7/26/2017,7958.12,0,0.097357216
22,7/27/2017,8020.94,0,0.134298774
23,7/28/2017,7932.47,2,0.072865644
24,7/31/2017,7927.21,0,-0.244311184
25,8/1/2017,7953.39,3,-0.049241797
26,8/2/2017,7971.29,5,0.218836968
27,8/3/2017,7922.52,2,-0.188547458
28,8/4/2017,7909.14,1,-0.164455784
29,8/7/2017,7969.05,0,0.242028025
30,8/8/2017,7984.17,0,0.036378041
31,8/9/2017,7941.74,1,1.468700399
32,8/10/2017,7845.48,1,-0.1273901
33,8/11/2017,7859.4,0,-0.994387308
34,8/14/2017,7892.41,0,0.049906476
35,8/15/2017,7853.1,1,-0.141808915
36,8/16/2017,7931.94,0,1.567894782
37,8/17/2017,7901.43,0,0.183875822
38,8/18/2017,7872.58,0,-0.116127279
39,8/21/2017,7886.95,0,-0.984297719
40,8/22/2017,7921.86,0,0.346557339
41,8/23/2017,7926.66,0,0.207874636
42,8/24/2017,7757.76,0,-0.167004359
43,8/25/2017,7778.62,0,-0.04868589
44,8/28/2017,7767.21,0,-0.084208805
45,8/29/2017,7791.15,0,-0.459393145
46,8/30/2017,7821.88,0,-0.568850768
47,8/31/2017,7870.16,1,-0.197855888
48,9/1/2017,7875.56,0,0.760827553
49,9/5/2017,7885.58,0,-0.311899219
50,9/6/2017,7879.91,0,0.017849174
51,9/7/2017,7920.38,0,0.14910032
52,9/11/2017,7909.97,0,-0.335272063
53,9/12/2017,7950.04,0,-0.075649323
54,9/13/2017,8006.31,0,0.110193058
55,9/14/2017,7985.87,0,-0.184383037
56,9/15/2017,7987.65,0,-0.14537496
57,9/18/2017,7940.95,0,-0.110904993
58,9/19/2017,7952.87,0,-0.063391063
59,9/20/2017,7972.57,0,0.305526674
60,9/21/2017,7932.71,0,-0.064742509
61,9/22/2017,7917.31,0,0.222697524
62,9/25/2017,7911.6,0,-0.007209112
63,9/26/2017,7941.01,0,-0.406854298
64,9/27/2017,7972.53,0,-0.120315849
65,9/28/2017,7973.51,0,-0.369141369
66,9/29/2017,7985.85,0,-0.385904979
67,10/2/2017,7997.94,0,-0.215420306
68,10/3/2017,7977.95,0,-0.124520242
69,10/4/2017,7996.25,0,-0.561504974
70,10/5/2017,8038.05,0,0.10747922
71,10/6/2017,7900.83,0,0.180765739
72,10/9/2017,7889.04,0,-0.231706552
73,10/10/2017,7920.9,0,-0.180022229
74,10/11/2017,7950.95,0,0.168957988
75,10/12/2017,7947.63,0,-0.087734072
76,10/13/2017,7990.84,0,-0.174770492
77,10/16/2017,7969.14,0,-0.067204301
78,10/17/2017,7969.73,0,-0.074182238
79,10/18/2017,7946.9,0,-0.032785606
80,10/19/2017,7938.66,0,-0.509084696
81,10/20/2017,7963.36,0,0.398833519
82,10/23/2017,8003.55,0,-0.161533282
83,10/24/2017,8021.65,0,0.468490311
84,10/25/2017,8026.76,0,-0.126933292
85,10/26/2017,8034.98,0,-0.800830663
86,10/27/2017,8144.67,0,0.320269897
87,10/30/2017,8121.92,0,-0.094359404
88,10/31/2017,8140.96,1,-0.158954159
89,11/1/2017,8168.61,0,-0.018993352
90,11/2/2017,8204.51,0,-0.3087517
91,11/3/2017,8221.86,0,-0.12697163
92,11/6/2017,8201.26,0,0.018914245
